Sentence #,Word,POS
Sentence: 17,Militant,JJ
,groups,NNS
,frequently,RB
,attack,VBP
,oil,NN
,operations,NNS
,in,IN
,the,DT
,Niger,NNP
,Delta,NNP
,to,TO
,demand,VB
,social,JJ
,services,NNS
,and,CC
,better,JJR
,job,NN
,opportunities,NNS
,from,IN
,multinational,JJ
,companies,NNS
,.,.
Sentence: 26,Officials,NNS
,say,VBP
,al,NNP
,Qaida,NNP
,in,IN
,Iraq,NNP
,fighters,NNS
,have,VBP
,fled,VBN
,successful,JJ
,campaigns,NNS
,against,IN
,them,PRP
,in,IN
,Anbar,NNP
,province,NN
,and,CC
,Baghdad,NNP
,to,TO
,other,JJ
,northern,JJ
,provinces,NNS
,.,.
Sentence: 33,In,IN
,Saturday,NNP
,'s,POS
,elections,NNS
,",",","
,voters,NNS
,will,MD
,cast,VB
,ballots,NNS
,in,IN
,nine,CD
,provinces,NNS
,where,WRB
,no,DT
,candidate,NN
,won,VBD
,a,DT
,majority,NN
,in,IN
,the,DT
,previous,JJ
,round,NN
,of,IN
,voting,NN
,.,.
Sentence: 45,The,DT
,AP,NNP
,also,RB
,reports,VBZ
,Khayam,NNP
,has,VBZ
,been,VBN
,on,IN
,parole,NN
,from,IN
,prison,NN
,since,IN
,last,JJ
,year,NN
,after,IN
,serving,VBG
,half,PDT
,his,PRP$
,six-year,JJ
,sentence,NN
,for,IN
,drug,NN
,dealing,NN
,.,.
Sentence: 46,Pakistani,JJ
,officials,NNS
,say,VBP
,unidentified,JJ
,gunmen,NNS
,have,VBP
,killed,VBN
,three,CD
,people,NNS
,",",","
,including,VBG
,a,DT
,former,JJ
,government,NN
,minister,NN
,",",","
,in,IN
,a,DT
,semi-autonomous,JJ
,tribal,JJ
,region,NN
,bordering,VBG
,Afghanistan,NNP
,.,.
Sentence: 84,Saturday,NNP
,",",","
,the,DT
,head,NN
,of,IN
,AU,NNP
,forces,NNS
,in,IN
,Darfur,NNP
,accused,VBD
,Sudanese,JJ
,government,NN
,helicopters,NNS
,of,IN
,bombing,VBG
,rebel,NN
,sites,NNS
,in,IN
,the,DT
,South,NNP
,Darfur,NNP
,village,NN
,of,IN
,Labado,NNP
,.,.
Sentence: 89,Australian,JJ
,and,CC
,French,JJ
,news,NN
,agencies,NNS
,say,VBP
,at,IN
,least,JJS
,one,CD
,of,IN
,the,DT
,men,NNS
,arrested,VBN
,(,LRB
,Cholily,NNP
,),RRB
,was,VBD
,captured,VBN
,during,IN
,a,DT
,series,NN
,of,IN
,counter-terrorism,NN
,raids,NNS
,last,JJ
,week,NN
,in,IN
,Indonesia,NNP
,.,.
Sentence: 97,Authorities,NNS
,in,IN
,Mogadishu,NNP
,have,VBP
,not,RB
,determined,VBN
,a,DT
,motive,NN
,for,IN
,the,DT
,shooting,NN
,.,.
Sentence: 110,Another,DT
,militant,NN
,was,VBD
,killed,VBN
,by,IN
,U.S.,NNP
,troops,NNS
,in,IN
,eastern,JJ
,Paktika,NNP
,province,NN
,.,.
Sentence: 111,Separately,RB
,",",","
,officials,NNS
,say,VBP
,four,CD
,British,JJ
,soldiers,NNS
,from,IN
,the,DT
,NATO-led,JJ
,peacekeeping,NN
,mission,NN
,were,VBD
,wounded,VBN
,early,JJ
,Saturday,NNP
,in,IN
,an,DT
,attack,NN
,in,IN
,the,DT
,northern,JJ
,city,NN
,of,IN
,Mazar-e-Sharif,NNP
,.,.
Sentence: 119,Emergency,NN
,power,NN
,rationing,NN
,has,VBZ
,been,VBN
,put,VBN
,into,IN
,effect,NN
,around,IN
,Moscow,NNP
,.,.
Sentence: 125,Most,JJS
,of,IN
,the,DT
,world,NN
,'s,POS
,cases,NNS
,",",","
,103,CD
,",",","
,have,VBP
,occurred,VBN
,in,IN
,Indonesia,NNP
,.,.
Sentence: 130,Somalia,NNP
,'s,POS
,internationally-recognized,JJ
,government,NN
,has,VBZ
,since,IN
,been,VBN
,struggling,VBG
,to,TO
,contain,VB
,regular,JJ
,outbursts,NNS
,of,IN
,violence,NN
,by,IN
,fighters,NNS
,loyal,JJ
,to,TO
,the,DT
,fallen,JJ
,Islamist,NNP
,movement,NN
,.,.
Sentence: 133,In,IN
,remarks,NNS
,to,TO
,reporters,NNS
,",",","
,Qureia,NNP
,said,VBD
,the,DT
,two,CD
,sides,NNS
,agreed,VBD
,during,IN
,recent,JJ
,meetings,NNS
,to,TO
,begin,VB
,writing,VBG
,out,RP
,their,PRP$
,positions,NNS
,on,IN
,all,DT
,issues,NNS
,discussed,VBN
,during,IN
,peace,NN
,negotiations,NNS
,.,.
Sentence: 134,He,PRP
,did,VBD
,not,RB
,elaborate,VB
,on,IN
,why,WRB
,negotiators,NNS
,had,VBD
,come,VBN
,to,TO
,the,DT
,decision,NN
,.,.
Sentence: 147,According,VBG
,to,TO
,some,DT
,media,NNS
,reports,NNS
,",",","
,Pakistan,NNP
,is,VBZ
,now,RB
,capable,JJ
,of,IN
,producing,VBG
,plutonium,NN
,for,IN
,just,RB
,two,CD
,warheads,NNS
,a,DT
,year,NN
,.,.
Sentence: 158,Cuba,NNP
,severed,VBD
,ties,NNS
,with,IN
,Panama,NNP
,in,IN
,August,NNP
,",",","
,hours,NNS
,after,IN
,Panamanian,JJ
,President,NNP
,Mireya,NNP
,Moscoso,NNP
,",",","
,in,IN
,her,PRP$
,final,JJ
,days,NNS
,in,IN
,office,NN
,",",","
,pardoned,VBD
,the,DT
,men,NNS
,",",","
,preventing,VBG
,their,PRP$
,extradition,NN
,to,IN
,Cuba,NNP
,.,.
Sentence: 195,When,WRB
,he,PRP
,leaves,VBZ
,office,NN
,",",","
,the,DT
,80-year-old,JJ
,former,JJ
,Navy,NNP
,secretary,NN
,will,MD
,have,VB
,served,VBN
,30,CD
,years,NNS
,as,IN
,a,DT
,U.S.,NNP
,senator,NN
,.,.
Sentence: 208,Thailand,NNP
,says,VBZ
,it,PRP
,has,VBZ
,photo,NN
,evidence,NN
,to,TO
,prove,VB
,its,PRP$
,claim,NN
,that,IN
,Islamic,NNP
,militants,NNS
,responsible,JJ
,for,IN
,violence,NN
,in,IN
,Thailand,NNP
,'s,POS
,Muslim-majority,JJ
,south,NN
,are,VBP
,training,VBG
,in,IN
,neighboring,VBG
,Malaysia,NNP
,.,.
Sentence: 209,Thai,JJ
,Deputy,NNP
,Interior,NNP
,Minister,NNP
,Sutham,NNP
,Saengprathum,NNP
,says,VBZ
,the,DT
,photos,NNS
,show,VBP
,the,DT
,militants,NNS
,training,VBG
,in,IN
,Malaysia,NNP
,'s,POS
,northern,JJ
,Kelantan,NNP
,state,NN
,",",","
,which,WDT
,borders,VBZ
,southern,JJ
,Thailand,NNP
,.,.
Sentence: 210,He,PRP
,said,VBD
,if,IN
,Malaysia,NNP
,wants,VBZ
,to,TO
,see,VB
,the,DT
,photos,NNS
,",",","
,Bangkok,NNP
,will,MD
,provide,VB
,them,PRP
,.,.
Sentence: 213,More,JJR
,than,IN
,500,CD
,people,NNS
,have,VBP
,been,VBN
,killed,VBN
,this,DT
,year,NN
,in,IN
,an,DT
,insurgency,NN
,that,IN
,some,DT
,say,VBP
,is,VBZ
,supported,VBN
,by,IN
,extremist,NN
,Muslims,NNS
,in,IN
,Indonesia,NNP
,and,CC
,Malaysia,NNP
,.,.
Sentence: 227,One,CD
,of,IN
,the,DT
,2008,CD
,Olympic,JJ
,mascots,NNS
,is,VBZ
,modeled,VBN
,on,IN
,a,DT
,panda,NN
,called,VBN
,Jing,NNP
,Jing,NNP
,.,.
Sentence: 238,Mr.,NNP
,Sivaram,NNP
,",",","
,who,WP
,was,VBD
,also,RB
,brutally,RB
,attacked,VBN
,in,IN
,2001,CD
,",",","
,was,VBD
,found,VBN
,near,IN
,a,DT
,lake,NN
,gagged,VBN
,with,IN
